region,started_at,finished_at,naive
Черкаська область,2022-03-01 10:11:43+00:00,2022-03-01 11:00:44+00:00,False
Миколаївська область,2022-03-01 10:15:15+00:00,2022-03-01 10:47:07+00:00,False
Чернівецька область,2022-03-01 10:16:15+00:00,2022-03-01 10:46:15+00:00,True
Київ,2022-03-01 10:38:34+00:00,2022-03-01 11:00:21+00:00,False
Вінницька область,2022-03-01 10:40:16+00:00,2022-03-01 10:59:10+00:00,False
Житомирська область,2022-03-01 10:42:10+00:00,2022-03-01 11:02:38+00:00,False
Київська область,2022-03-01 10:43:38+00:00,2022-03-01 11:13:38+00:00,True
Миколаївська область,2022-03-01 10:50:22+00:00,2022-03-01 11:20:22+00:00,True
Чернігівська область,2022-03-01 10:52:29+00:00,2022-03-01 11:22:29+00:00,True
Черкаська область,2022-03-01 11:34:21+00:00,2022-03-01 12:04:21+00:00,True
Чернівецька область,2022-03-01 11:40:51+00:00,2022-03-01 12:10:51+00:00,True
Київ,2022-03-01 12:05:56+00:00,2022-03-01 12:35:56+00:00,True
Кіровоградська область,2022-03-01 12:11:40+00:00,2022-03-01 14:10:16+00:00,False
Вінницька область,2022-03-01 12:12:14+00:00,2022-03-01 12:44:10+00:00,False
Черкаська область,2022-03-01 12:15:48+00:00,2022-03-01 12:45:48+00:00,True
Сумська область,2022-03-01 12:18:18+00:00,2022-03-01 12:48:18+00:00,True
Полтавська область,2022-03-01 12:22:46+00:00,2022-03-01 12:29:19+00:00,False
Миколаївська область,2022-03-01 12:39:41+00:00,2022-03-01 13:09:41+00:00,True
Вінницька область,2022-03-01 13:08:14+00:00,2022-03-01 13:44:25+00:00,False
Дніпропетровська область,2022-03-01 13:14:16+00:00,2022-03-01 13:39:56+00:00,False
Рівненська область,2022-03-01 13:26:14+00:00,2022-03-01 13:48:14+00:00,False
Волинська область,2022-03-01 13:29:08+00:00,2022-03-01 13:48:52+00:00,False
Миколаївська область,2022-03-01 13:29:49+00:00,2022-03-01 13:51:48+00:00,False
Хмельницька область,2022-03-01 13:32:14+00:00,2022-03-01 14:02:14+00:00,True
Тернопільська область,2022-03-01 13:35:27+00:00,2022-03-01 14:19:05+00:00,False
